ItemNum,Phase,Painting,Artist,Schedule,ConDir,ConName,ConCat,Block,Notes,Subj,Stimset,Stimsubset,Order
16,GenRecTest,Images/Schwartz/Schwartz3.jpg,Schwartz,Interleaved,Images/Context/mm/Rock_and_Roll_Hall_of_Fame.jpg,Rock and Roll Hall of Fame,mm,NA,NA,3,35,b,BF
6,GenRecTest,Images/Grossman/Grossman3.jpg,Grossman,Interleaved,Images/Context/mm/Eiffel_Tower.jpg,Eiffel Tower,mm,NA,NA,3,35,b,BF
14,GenRecTest,Images/Schwartz/Schwartz4.jpg,Schwartz,Interleaved,Images/Context/nat/Devil's_Tower.jpg,Devil's Tower,nat,NA,NA,3,35,b,BF
13,GenRecTest,Images/Schwartz/Schwartz6.jpg,Schwartz,Interleaved,Images/Context/mm/Space_Needle.jpg,Space Needle,mm,NA,NA,3,35,b,BF
2,GenRecTest,Images/Grossman/Grossman2.jpg,Grossman,Interleaved,Images/Context/nat/Bryce_Canyon.jpg,Bryce Canyon,nat,NA,NA,3,35,b,BF
5,GenRecTest,Images/Grossman/Grossman1.jpg,Grossman,Interleaved,Images/Context/mm/Tower_of_Pisa.jpg,Tower of Pisa,mm,NA,NA,3,35,b,BF
9,GenRecTest,Images/Schlorff/Schlorff4.jpg,Schlorff,Interleaved,Images/Context/mm/Atomium.jpg,Atomium,mm,NA,NA,3,35,b,BF
10,GenRecTest,Images/Schlorff/Schlorff6.jpg,Schlorff,Interleaved,Images/Context/mm/Carnegie_Hall.jpg,Carnegie Hall,mm,NA,NA,3,35,b,BF
8,GenRecTest,Images/Schlorff/Schlorff2.jpg,Schlorff,Interleaved,Images/Context/nat/Carlsbad_Caverns.jpg,Carlsbad Caverns,nat,NA,NA,3,35,b,BF
1,GenRecTest,Images/Grossman/Grossman5.jpg,Grossman,Interleaved,Images/Context/nat/Arashiyama_Bamboo_Forest.jpg,Arashiyama Bamboo Forest,nat,NA,NA,3,35,b,BF
7,GenRecTest,Images/Schlorff/Schlorff3.jpg,Schlorff,Interleaved,Images/Context/nat/Red_Beach.jpg,Red Beach,nat,NA,NA,3,35,b,BF
18,GenRecTest,Images/Schwartz/Schwartz5.jpg,Schwartz,Interleaved,Images/Context/nat/Zion_Subway.jpg,Zion Subway,nat,NA,NA,3,35,b,BF
8,instruct,NA,NA,NA,NA,NA,NA,NA,D2R,3,35,b,BF
